Input Name,Entity,Type: Unit,Default,Source
risk_tolerance,:py:class:`~agents.Houseowner.Houseowner`,"Float: Abstract [0,1]","Leadings: 1.0;
Mainstream: 0.7;
Traditionals: 0.5;
Hedonists: 0.6",Calculation based on general description of Milieu Groups (see `Barth et al. 2023 <https://doi.org/10.1007/978-3-658-42380-3>`_) 
risk_tolerance_std,:py:class:`~modules.Agent_properties.Milieu`,Float: Abstract,0.19,Calculation based on `Sherman and Lindamood 2004 <https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2255180>`_
stdev_savings,:py:class:`~agents.Houseowner.Houseowner`,Integer: EUR/week,"Leadings: 66;
Mainstream: 62;
Traditionals: 69;
Hedonists: 58",Calculated from the results of a survey in the district of interest (see `this paper <https://zenodo.org/records/17866768>`_).
tpb_weights_std,:py:class:`~modules.Agent_properties.Milieu`,List: -,"[0.1, 0.1, 0.1]",Assumed value.
income_lower_bound,:py:class:`~Model.Prototype_Model`,int,50,Assumed from Buergergeld minus food expenses
income_higher_bound,:py:class:`~Model.Prototype_Model`,int,1000,Asssumed to be high enough to afford any possible system
initial_meetings_share,:py:class:`~Model.Prototype_Model`,float,1.0,Assumed that agents contacted their neighbours at least once in the past.
similarity_threshold,:py:class:`~agents.Houseowner.Houseowner`,float,1.1,Assumed value.
availability_threshold,:py:class:`~agents.Houseowner.Houseowner`,int,104,Assumed value.
transition_width,:py:class:`~agents.Houseowner.Houseowner`,float,0.3,"Compromise between `Bass Diffusion Model (0.1-0.2) <https://doi.org/10.1287/mnsc.15.5.215>`_, and estimations of `Lund P.  <https://doi.org/10.1016/j.enpol.2005.07.002 >`_"
k_steep,:py:class:`~agents.Houseowner.Houseowner`,int,6,"Standard mathematical approximation of 5.89, which represents the exact difference in log-odds required for a logistic curve to transition from a 5% to a 95% activation threshold."
x_mid,:py:class:`~agents.Houseowner.Houseowner`,float,0.25,Based on the work of `Centola et al. <https://doi.org/10.1126/science.aas8827>`_
system_grace_period,:py:class:`~agents.Houseowner.Houseowner`,int,520,Value discussed during validation workshop.
monetary_cap,:py:class:`~modules.Scenario.Scenario`,int,21000,Official data from Federal Office for Economic Affairs and Export Control (`BEG <https://www.bafa.de/DE/Energie/Effiziente_Gebaeude/effiziente_gebaeude_node.html>`_).
percentage_cap,:py:class:`~modules.Scenario.Scenario`,float,0.7,Official data from Federal Office for Economic Affairs and Export Control (`BEG <https://www.bafa.de/DE/Energie/Effiziente_Gebaeude/effiziente_gebaeude_node.html>`_).
